"chr"	"start"	"end"	"RBPs"	"strand"	"IGF2BP2a_rep1"	"IGF2BP2a_rep2"	"IGF2BP2b_rep1"	"IGF2BP2b_rep2"	"gene_ID"	"gene_name"	"gene_type"	"feature"
"chr17"	78971624	78971632	"IGF2BP2b_final"	"-"	2.544	0	6.634285714	8.435	"ENSG00000108679.13"	"LGALS3BP"	"protein_coding"	"CDS"
"chr17"	78972130	78972138	"IGF2BP2b_final"	"-"	0	0.802	14.83	11.42	"ENSG00000108679.13"	"LGALS3BP"	"protein_coding"	"CDS"
"chr17"	80119594	80119602	"IGF2BP2a_final"	"+"	9.694285714	4.01	1.36	6.166666667	"ENSG00000171298.13"	"GAA"	"protein_coding"	"3UTR"
"chr17"	80136044	80136052	"IGF2BP2b_final"	"-"	0.3	3.096666667	9.39	6.664	"ENSG00000141543.12"	"EIF4A3"	"protein_coding"	"CDS"
"chr17"	80139072	80139080	"IGF2BP2b_final"	"-"	10.05	7.055	9.9	23.23333333	"ENSG00000141543.12"	"EIF4A3"	"protein_coding"	"CDS"
"chr17"	80139714	80139722	"IGF2BP2a_final"	"-"	8.523333333	7.23	8.95	3.968	"ENSG00000141543.12"	"EIF4A3"	"protein_coding"	"CDS"
"chr17"	80140092	80140106	"IGF2BP2a_final,IGF2BP2b_final"	"-"	6.851428571	7.161111111	4.571428571	7.016666667	"ENSG00000141543.12"	"EIF4A3"	"protein_coding"	"CDS"
"chr17"	80349898	80349906	"IGF2BP2a_final"	"+"	10.35333333	4.46	2.466666667	2.64	"ENSG00000173821.19"	"RNF213"	"protein_coding"	"CDS"
"chr17"	80372554	80372562	"IGF2BP2a_final"	"+"	8.01	5.5975	0	0.2	"ENSG00000173821.19"	"RNF213"	"protein_coding"	"CDS"
"chr17"	80388660	80388668	"IGF2BP2b_final"	"+"	4.673333333	6.488571429	7.85	9.156	"ENSG00000173821.19"	"RNF213"	"protein_coding"	"CDS"
"chr17"	80643769	80643777	"IGF2BP2b_final"	"+"	6.644	0	18.956	5.017142857	"ENSG00000141564.15"	"RPTOR"	"protein_coding"	"CDS"
"chr17"	81270944	81270952	"IGF2BP2a_final"	"-"	10.48	11.43666667	4.02	3.766666667	"ENSG00000157637.13"	"SLC38A10"	"protein_coding"	"CDS"
"chr17"	81510086	81510094	"IGF2BP2a_final,IGF2BP2b_final"	"-"	248.385	282.8349963	275.03249	233.8742843	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"3UTR"
"chr17"	81510454	81510462	"IGF2BP2b_final"	"-"	249.6750075	261.755	248.6485729	251.3225	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"3UTR"
"chr17"	81510638	81510646	"IGF2BP2b_final"	"-"	26.985	66.32000125	21.85500375	57.67499875	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"3UTR"
"chr17"	81510734	81510742	"IGF2BP2a_final"	"-"	33.4625	47.6262475	6.185	41.69499875	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"CDS"
"chr17"	81511068	81511077	"IGF2BP2a_final,IGF2BP2b_final"	"-"	31.45333444	55.79	29.68000111	24.6225	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"CDS"
"chr17"	81511512	81511520	"IGF2BP2b_final"	"-"	18.69000125	11.97142857	72.95143	30.8750025	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"CDS"
"chr17"	81511618	81511626	"IGF2BP2b_final"	"-"	11.1625	21.315	23.23375	6.01875	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"CDS"
"chr17"	81512240	81512248	"IGF2BP2b_final"	"-"	2.674285714	0.28875	18.87428571	13.988	"ENSG00000184009.13"	"ACTG1"	"protein_coding"	"CDS"
"chr17"	81561504	81561512	"IGF2BP2a_final"	"-"	19.296	6.735	4.02	1.34	"ENSG00000182446.14"	"NPLOC4"	"protein_coding"	"intron"
"chr17"	81600405	81600414	"IGF2BP2a_final,IGF2BP2b_final"	"-"	10.7	4.8475	6.52	3.628	"ENSG00000182446.14"	"NPLOC4"	"protein_coding"	"CDS"
"chr17"	81686340	81686348	"IGF2BP2b_final"	"+"	14.43	2.063333333	11.1	11.555	"ENSG00000185359.14"	"HGS"	"protein_coding"	"CDS"
"chr17"	81704360	81704368	"IGF2BP2a_final"	"+"	8.535	8.94	0.015	0.21	"ENSG00000262814.8"	"MRPL12"	"protein_coding"	"CDS"
"chr17"	81707006	81707014	"IGF2BP2a_final"	"+"	17.985	11.91714286	5.3025	4.8925	"ENSG00000262814.8"	"MRPL12"	"protein_coding"	"CDS"
"chr17"	81843184	81843192	"IGF2BP2a_final,IGF2BP2b_final"	"-"	139.7925	146.96333	82.935	94.44571429	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"3UTR"
"chr17"	81843484	81843492	"IGF2BP2a_final,IGF2BP2b_final"	"-"	19.86	38.15428571	46.16	48.07333333	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"3UTR"
"chr17"	81843746	81843754	"IGF2BP2a_final"	"-"	14.56	11.945	10.43666667	31.13333333	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"3UTR"
"chr17"	81845582	81845590	"IGF2BP2a_final"	"-"	9.797142857	11.56875	3.87	14.185	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"CDS"
"chr17"	81845665	81845673	"IGF2BP2b_final"	"-"	7.6425025	13.9500075	80.10749625	32.36499875	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"CDS"
"chr17"	81846434	81846448	"IGF2BP2a_final,IGF2BP2b_final"	"-"	9.09	16.86461538	26.91166667	20.03857143	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"CDS"
"chr17"	81846964	81846975	"IGF2BP2a_final,IGF2BP2b_final"	"-"	58.758	45.10181818	63.34908909	56.96727364	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"CDS"
"chr17"	81847274	81847282	"IGF2BP2b_final"	"-"	8.745714286	22.6125	19.2475	24.01	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"CDS"
"chr17"	81855216	81855224	"IGF2BP2a_final"	"-"	31.82571429	20.54	20.42571429	43.53666667	"ENSG00000185624.16"	"P4HB"	"protein_coding"	"CDS"
"chr17"	81867862	81867870	"IGF2BP2b_final"	"-"	3.681428571	6.41	9.885	12.745	"ENSG00000141522.12"	"ARHGDIA"	"protein_coding"	"3UTR"
"chr17"	81868916	81868924	"IGF2BP2b_final"	"-"	16.64333333	0.784	18.16333333	6.18	"ENSG00000141522.12"	"ARHGDIA"	"protein_coding"	"CDS"
"chr17"	81869185	81869194	"IGF2BP2a_final,IGF2BP2b_final"	"-"	8.625	5.852	13.21	18.76857143	"ENSG00000141522.12"	"ARHGDIA"	"protein_coding"	"CDS"
"chr17"	81889187	81889202	"IGF2BP2a_final,IGF2BP2b_final"	"-"	8.3775	3.6775	14.20285714	16.25090909	"ENSG00000183684.8"	"ALYREF"	"protein_coding"	"CDS"
"chr17"	81890800	81890808	"IGF2BP2b_final"	"-"	0	0	4.38	7.29	"ENSG00000183684.8"	"ALYREF"	"protein_coding"	"CDS"
"chr17"	81891522	81891530	"IGF2BP2b_final"	"-"	4.43	0.5666666667	33.24	11.15428571	"ENSG00000183684.8"	"ALYREF"	"protein_coding"	"CDS"
"chr17"	81900170	81900178	"IGF2BP2b_final"	"+"	2.235	0.73	7.056	13.13333333	"ENSG00000141552.18"	"ANAPC11"	"protein_coding"	"3UTR"
"chr17"	81904268	81904277	"IGF2BP2a_final,IGF2BP2b_final"	"-"	7.046666667	17.1325	22.62666667	9.625	"ENSG00000185813.11"	"PCYT2"	"protein_coding"	"3UTR"
"chr17"	81905100	81905108	"IGF2BP2b_final"	"-"	0	4.79	10.172	10.48	"ENSG00000185813.11"	"PCYT2"	"protein_coding"	"CDS"
"chr17"	81906147	81906155	"IGF2BP2b_final"	"-"	11.124	2.292857143	13.28571429	16.152	"ENSG00000185813.11"	"PCYT2"	"protein_coding"	"CDS"
"chr17"	81908886	81908894	"IGF2BP2b_final"	"-"	0	14.34	6.822857143	26.34333333	"ENSG00000185813.11"	"PCYT2"	"protein_coding"	"CDS"
"chr17"	81932565	81932573	"IGF2BP2b_final"	"-"	7.276666667	3.385	6.645	14.82	"ENSG00000183010.17"	"PYCR1"	"protein_coding"	"3UTR"
"chr17"	81933302	81933310	"IGF2BP2b_final"	"-"	4.13	5.13	26.74	20.67428571	"ENSG00000183010.17"	"PYCR1"	"protein_coding"	"CDS"
"chr17"	81934436	81934446	"IGF2BP2a_final,IGF2BP2b_final"	"-"	17.18	6.136	11.82	8.105	"ENSG00000183010.17"	"PYCR1"	"protein_coding"	"CDS"
"chr17"	81956935	81956943	"IGF2BP2a_final"	"-"	21.82285714	27.69	14.82	15.08	"ENSG00000185269.12"	"NOTUM"	"protein_coding"	"CDS"
"chr17"	81956946	81956954	"IGF2BP2b_final"	"-"	19	28.21	19.608	28.37714286	"ENSG00000185269.12"	"NOTUM"	"protein_coding"	"CDS"
"chr17"	81959520	81959528	"IGF2BP2b_final"	"-"	4.728	5.985	13.96	28.38285714	"ENSG00000185269.12"	"NOTUM"	"protein_coding"	"CDS"
"chr17"	82019062	82019070	"IGF2BP2b_final"	"-"	0	0.39	4.844	5.34	"ENSG00000169689.15"	"CENPX"	"protein_coding"	"3UTR"
"chr17"	82058062	82058070	"IGF2BP2b_final"	"-"	3.84	10.945	5.772	5.43	"ENSG00000169718.18"	"DUS1L"	"protein_coding"	"CDS"
"chr17"	82058234	82058242	"IGF2BP2a_final"	"-"	10.82	10.105	10.82	12.64	"ENSG00000169718.18"	"DUS1L"	"protein_coding"	"CDS"
"chr17"	82078426	82078436	"IGF2BP2a_final,IGF2BP2b_final"	"-"	148.796	128.192004	125.426002	86.202001	"ENSG00000169710.9"	"FASN"	"protein_coding"	"3UTR"
"chr17"	82079532	82079540	"IGF2BP2b_final"	"-"	0.06	19.65142857	27.89142857	25.22285714	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82080155	82080163	"IGF2BP2b_final"	"-"	0.9542857143	2.46375	13.4175	15.655	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82080731	82080739	"IGF2BP2b_final"	"-"	0	3.036666667	15.384	12.23	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82083525	82083533	"IGF2BP2b_final"	"-"	5.9	25.08666667	33.3	41.49714286	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82084895	82084903	"IGF2BP2b_final"	"-"	4.26	8.0625	27.972	43.52	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82085562	82085570	"IGF2BP2a_final"	"-"	6.864	4.9375	6.435	5.024	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82085814	82085822	"IGF2BP2b_final"	"-"	3.405	1.1375	8.451428571	7.031428571	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82087337	82087345	"IGF2BP2b_final"	"-"	18.71142857	12.875	18.78	41.215	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82087356	82087364	"IGF2BP2a_final"	"-"	30.1875	37.4875	14.5125	32.64499875	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82090016	82090024	"IGF2BP2a_final"	"-"	3.376	6.221428571	7.48	18.952	"ENSG00000169710.9"	"FASN"	"protein_coding"	"intron"
"chr17"	82090118	82090126	"IGF2BP2b_final"	"-"	3.81	8.708333333	5.156	7.68	"ENSG00000169710.9"	"FASN"	"protein_coding"	"intron"
"chr17"	82091656	82091664	"IGF2BP2a_final"	"-"	1.875	2.696	1.392	8.303333333	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82092701	82092709	"IGF2BP2b_final"	"-"	7.21	8.62	18.43714286	11.84857143	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82092906	82092914	"IGF2BP2b_final"	"-"	8.697142857	4.101428571	17.885	28.2025	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82093743	82093755	"IGF2BP2a_final,IGF2BP2b_final"	"-"	19.455	30.74916667	36.26999917	42.67666667	"ENSG00000169710.9"	"FASN"	"protein_coding"	"CDS"
"chr17"	82236152	82236162	"IGF2BP2a_final,IGF2BP2b_final"	"+"	7.114285714	18.64111111	24.57333333	12.3	"ENSG00000141526.18"	"SLC16A3"	"protein_coding"	"CDS"
"chr17"	82237158	82237166	"IGF2BP2b_final"	"+"	1.86	0.1533333333	19.644	5.14	"ENSG00000141526.18"	"SLC16A3"	"protein_coding"	"CDS"
"chr17"	82237562	82237570	"IGF2BP2a_final"	"+"	14.38857143	13.40833333	8.416666667	8.04	"ENSG00000141526.18"	"SLC16A3"	"protein_coding"	"CDS"
"chr17"	82237745	82237753	"IGF2BP2b_final"	"+"	8.8	7.674	29.51	26.10666667	"ENSG00000141526.18"	"SLC16A3"	"protein_coding"	"CDS"
"chr17"	82238730	82238738	"IGF2BP2b_final"	"+"	11.37	15.66714286	16.665	14.01428571	"ENSG00000141526.18"	"SLC16A3"	"protein_coding"	"CDS"
"chr17"	82239045	82239058	"IGF2BP2a_final,IGF2BP2b_final"	"+"	42.02727273	64.58	29.59666667	37.12923077	"ENSG00000141526.18"	"SLC16A3"	"protein_coding"	"3UTR"
"chr17"	82239279	82239287	"IGF2BP2b_final"	"+"	10.82571429	19.70625	34.27714286	16.87714286	"ENSG00000141526.18"	"SLC16A3"	"protein_coding"	"3UTR"
"chr17"	82253214	82253223	"IGF2BP2a_final,IGF2BP2b_final"	"-"	27.36	17.29375	26.71	15.97142857	"ENSG00000141551.14"	"CSNK1D"	"protein_coding"	"CDS"
"chr17"	82568160	82568168	"IGF2BP2b_final"	"+"	6.315	5.3475	7.26	4.163333333	"ENSG00000141568.21"	"FOXK2"	"protein_coding"	"CDS"
"chr17"	82582850	82582858	"IGF2BP2a_final"	"+"	9.468	8.756666667	7.065	7.236	"ENSG00000141568.21"	"FOXK2"	"protein_coding"	"CDS"
"chr17"	82587196	82587204	"IGF2BP2b_final"	"+"	8.08	16.08	6.46	5.591428571	"ENSG00000141568.21"	"FOXK2"	"protein_coding"	"CDS"
"chr17"	82601514	82601522	"IGF2BP2b_final"	"+"	5.016	1.628333333	8	9.534285714	"ENSG00000141568.21"	"FOXK2"	"protein_coding"	"3UTR"
"chr17"	82601667	82601675	"IGF2BP2a_final"	"+"	27.67142857	28.52	31.98333333	26.79666667	"ENSG00000141568.21"	"FOXK2"	"protein_coding"	"3UTR"
"chr17"	82602373	82602381	"IGF2BP2a_final"	"+"	6.528	16.472	2.31	2.9	"ENSG00000141568.21"	"FOXK2"	"protein_coding"	"3UTR"
"chr17"	82615728	82615736	"IGF2BP2a_final,IGF2BP2b_final"	"-"	14.66	13.56	9.15	9.14	"ENSG00000141580.16"	"WDR45B"	"protein_coding"	"3UTR"
"chr17"	82766320	82766328	"IGF2BP2b_final"	"+"	5.16	10.83	21.12	13.82	"ENSG00000141556.21"	"TBCD"	"protein_coding"	"CDS"
"chr18"	204608	204616	"IGF2BP2b_final"	"+"	11.316	5.37	11.43	19.28	"ENSG00000101557.15"	"USP14"	"protein_coding"	"CDS"
"chr18"	671417	671425	"IGF2BP2a_final"	"+"	38.16	27.286	6.1	21.72	"ENSG00000176890.16"	"TYMS"	"protein_coding"	"CDS"
"chr18"	671432	671440	"IGF2BP2b_final"	"+"	26.295	19.006	10.032	24.26285714	"ENSG00000176890.16"	"TYMS"	"protein_coding"	"CDS"
"chr18"	673098	673106	"IGF2BP2a_final"	"+"	26.96	18.35857143	16.032	12.76285714	"ENSG00000176890.16"	"TYMS"	"protein_coding"	"3UTR"
"chr18"	673403	673411	"IGF2BP2a_final"	"+"	15	13.71666667	3.03	11.90285714	"ENSG00000176890.16"	"TYMS"	"protein_coding"	"3UTR"
"chr18"	722206	722214	"IGF2BP2b_final"	"-"	2.764	5.968571429	13.42333333	4.66	"ENSG00000176105.14"	"YES1"	"protein_coding"	"3UTR"
"chr18"	722641	722649	"IGF2BP2a_final"	"-"	7.3	8.776	5.704	7.736	"ENSG00000176105.14"	"YES1"	"protein_coding"	"3UTR"
"chr18"	723828	723840	"IGF2BP2a_final,IGF2BP2b_final"	"-"	5.76	11.65	7.47	4.24	"ENSG00000176105.14"	"YES1"	"protein_coding"	"3UTR"
"chr18"	724318	724326	"IGF2BP2a_final"	"-"	10.716	17.29	1.14	7.28	"ENSG00000176105.14"	"YES1"	"protein_coding"	"3UTR"
"chr18"	724582	724590	"IGF2BP2a_final"	"-"	7.188	5.313333333	0	0.12	"ENSG00000176105.14"	"YES1"	"protein_coding"	"CDS"
"chr18"	732884	732892	"IGF2BP2b_final"	"-"	12.468	10.38	8.06	14.20571429	"ENSG00000176105.14"	"YES1"	"protein_coding"	"CDS"
"chr18"	745720	745728	"IGF2BP2a_final"	"-"	15.42	19.566	19.6	15.38	"ENSG00000176105.14"	"YES1"	"protein_coding"	"CDS"
"chr18"	2595448	2595456	"IGF2BP2b_final"	"+"	13.12	7.6	15.695	20.004	"ENSG00000080986.13"	"NDC80"	"protein_coding"	"CDS"
"chr18"	2694656	2694664	"IGF2BP2a_final"	"+"	15.96	11.375	6.27	10.608	"ENSG00000101596.16"	"SMCHD1"	"protein_coding"	"CDS"
"chr18"	2703694	2703702	"IGF2BP2a_final"	"+"	10.00285714	14.446	0	0	"ENSG00000101596.16"	"SMCHD1"	"protein_coding"	"CDS"
"chr18"	2726504	2726512	"IGF2BP2a_final"	"+"	23.1	15.11	11.77	15.035	"ENSG00000101596.16"	"SMCHD1"	"protein_coding"	"CDS"
"chr18"	2738419	2738427	"IGF2BP2b_final"	"+"	5.73	3.095	18.08	7.06	"ENSG00000101596.16"	"SMCHD1"	"protein_coding"	"CDS"
"chr18"	2802740	2802748	"IGF2BP2a_final"	"+"	13.06	10.08	2.025	1.34	"ENSG00000101596.16"	"SMCHD1"	"protein_coding"	"3UTR"
"chr18"	2918368	2918376	"IGF2BP2b_final"	"-"	8.66	13.78285714	10.07333333	9.293333333	"ENSG00000101577.10"	"LPIN2"	"protein_coding"	"3UTR"
"chr18"	2929110	2929118	"IGF2BP2b_final"	"-"	13.52	21.90166667	26.82	12.78	"ENSG00000101577.10"	"LPIN2"	"protein_coding"	"CDS"
"chr18"	2929119	2929127	"IGF2BP2a_final"	"-"	13.56	24.716	24.0975	7.668	"ENSG00000101577.10"	"LPIN2"	"protein_coding"	"CDS"
"chr18"	2937995	2938003	"IGF2BP2a_final"	"-"	6.257142857	17.08428571	7.704	0.448	"ENSG00000101577.10"	"LPIN2"	"protein_coding"	"CDS"
"chr18"	3253323	3253331	"IGF2BP2a_final"	"+"	9.46	7.59	0	0.5066666667	"ENSG00000101608.13"	"MYL12A"	"protein_coding"	"CDS"
"chr18"	3254032	3254040	"IGF2BP2a_final"	"+"	8.326666667	7.313333333	9.348	1.044	"ENSG00000101608.13"	"MYL12A"	"protein_coding"	"CDS"
"chr18"	3256062	3256070	"IGF2BP2a_final"	"+"	52.22571429	20.68833333	17.985	27.34	"ENSG00000101608.13"	"MYL12A"	"protein_coding"	"3UTR"
"chr18"	3273030	3273044	"IGF2BP2a_final,IGF2BP2b_final"	"+"	18.89	18.7975	24.78	9.08	"ENSG00000118680.14"	"MYL12B"	"protein_coding"	"CDS"
"chr18"	3277331	3277339	"IGF2BP2b_final"	"+"	1.74	7.341666667	10.632	13.12666667	"ENSG00000118680.14"	"MYL12B"	"protein_coding"	"CDS"
"chr18"	9122593	9122601	"IGF2BP2a_final"	"+"	22.02333333	28.04428571	7.82	10.416	"ENSG00000178127.13"	"NDUFV2"	"protein_coding"	"CDS"
"chr18"	9124898	9124906	"IGF2BP2a_final"	"+"	5.306666667	4.6675	3.956	14.18666667	"ENSG00000178127.13"	"NDUFV2"	"protein_coding"	"CDS"
"chr18"	9126872	9126880	"IGF2BP2b_final"	"+"	15.01142857	10.13714286	6.542857143	6.4525	"ENSG00000178127.13"	"NDUFV2"	"protein_coding"	"CDS"
"chr18"	9254441	9254449	"IGF2BP2a_final"	"+"	6.968	5.9175	4.386666667	4.612	"ENSG00000101745.17"	"ANKRD12"	"protein_coding"	"CDS"
"chr18"	9547017	9547025	"IGF2BP2b_final"	"-"	4.94	12.74	11.97	10.74666667	"ENSG00000154845.16"	"PPP4R1"	"protein_coding"	"3UTR"
"chr18"	9547400	9547408	"IGF2BP2a_final"	"-"	14.85	7.645	2.88	3.94	"ENSG00000154845.16"	"PPP4R1"	"protein_coding"	"3UTR"
"chr18"	9549200	9549208	"IGF2BP2b_final"	"-"	6.3	5.37	13.995	13.3	"ENSG00000154845.16"	"PPP4R1"	"protein_coding"	"CDS"
"chr18"	9562039	9562047	"IGF2BP2a_final"	"-"	10.26	17.29	14.44	7.28	"ENSG00000154845.16"	"PPP4R1"	"protein_coding"	"CDS"
"chr18"	9570390	9570398	"IGF2BP2a_final"	"-"	14.82	16.835	5.7	2.773333333	"ENSG00000154845.16"	"PPP4R1"	"protein_coding"	"CDS"
"chr18"	9954368	9954378	"IGF2BP2a_final,IGF2BP2b_final"	"+"	10.755	10.49	23.92285714	13.90857143	"ENSG00000101558.14"	"VAPA"	"protein_coding"	"3UTR"
"chr18"	10550900	10550908	"IGF2BP2a_final"	"+"	12.36	7.808	11.03	8.47	"ENSG00000134265.13"	"NAPG"	"protein_coding"	"3UTR"
"chr18"	11999093	11999101	"IGF2BP2a_final"	"+"	9.833333333	7.302	1.412	0.8766666667	"ENSG00000141401.12"	"IMPA2"	"protein_coding"	"CDS"
"chr18"	12030666	12030674	"IGF2BP2b_final"	"+"	6.3	2.533333333	4.14	4.98	"ENSG00000141401.12"	"IMPA2"	"protein_coding"	"3UTR"
"chr18"	12340255	12340263	"IGF2BP2a_final"	"-"	5.2	6.154	1.78	0.82	"ENSG00000141385.10"	"AFG3L2"	"protein_coding"	"CDS"
"chr18"	12351126	12351134	"IGF2BP2a_final"	"-"	22.29428571	18.23	16.94	6.52	"ENSG00000141385.10"	"AFG3L2"	"protein_coding"	"CDS"
"chr18"	12706678	12706686	"IGF2BP2a_final"	"+"	10.08	17.636	12.36	8.655	"ENSG00000128789.21"	"PSMG2"	"protein_coding"	"CDS"
"chr18"	12720668	12720676	"IGF2BP2a_final"	"+"	7.47	8.192	5.76	0	"ENSG00000128789.21"	"PSMG2"	"protein_coding"	"CDS"
"chr18"	12725592	12725600	"IGF2BP2a_final"	"+"	13.9	5.188	7.82	4.46	"ENSG00000128789.21"	"PSMG2"	"protein_coding"	"3UTR"
"chr18"	12963340	12963348	"IGF2BP2b_final"	"+"	4.26	11.745	23.925	13.24	"ENSG00000085415.16"	"SEH1L"	"protein_coding"	"CDS"
"chr18"	12971236	12971244	"IGF2BP2a_final"	"+"	4.7	9.52	5.46	10.404	"ENSG00000085415.16"	"SEH1L"	"protein_coding"	"CDS"
"chr18"	12986164	12986172	"IGF2BP2a_final"	"+"	9.195	5.062	1.76	0	"ENSG00000085415.16"	"SEH1L"	"protein_coding"	"3UTR"
"chr18"	13087564	13087572	"IGF2BP2a_final"	"+"	9.804	6.37	4.56	4.16	"ENSG00000101639.18"	"CEP192"	"protein_coding"	"CDS"
"chr18"	13731622	13731630	"IGF2BP2b_final"	"+"	2.01	6.036666667	11.64	12.92666667	"ENSG00000101654.18"	"RNMT"	"protein_coding"	"CDS"
"chr18"	21623777	21623785	"IGF2BP2a_final"	"+"	15.98571429	12.27857143	6.0675	12.5725	"ENSG00000167088.11"	"SNRPD1"	"protein_coding"	"CDS"
"chr18"	21765902	21765910	"IGF2BP2b_final"	"+"	5.7	4.55	7.98	9.36	"ENSG00000101752.12"	"MIB1"	"protein_coding"	"CDS"
"chr18"	21779660	21779668	"IGF2BP2b_final"	"+"	0	4.825	6.9	11	"ENSG00000101752.12"	"MIB1"	"protein_coding"	"CDS"
"chr18"	21853160	21853168	"IGF2BP2a_final"	"+"	7.98	6.37	6.27	5.2	"ENSG00000101752.12"	"MIB1"	"protein_coding"	"CDS"
"chr18"	22992906	22992914	"IGF2BP2a_final"	"+"	10.08	7.235	8.94	2.873333333	"ENSG00000101773.19"	"RBBP8"	"protein_coding"	"CDS"
"chr18"	23194510	23194518	"IGF2BP2a_final"	"+"	10.29	8.1	5.73	6.54	"ENSG00000134508.12"	"CABLES1"	"protein_coding"	"CDS"
"chr18"	23532016	23532024	"IGF2BP2b_final"	"-"	6.565714286	16.99	16.12	6.893333333	"ENSG00000141458.13"	"NPC1"	"protein_coding"	"3UTR"
"chr18"	23533384	23533392	"IGF2BP2a_final"	"-"	9.492	4.156666667	5.16	2.9	"ENSG00000141458.13"	"NPC1"	"protein_coding"	"CDS"
"chr18"	23568842	23568850	"IGF2BP2b_final"	"-"	14.28	10.52666667	10.86	19.54	"ENSG00000141458.13"	"NPC1"	"protein_coding"	"CDS"
"chr18"	23568852	23568860	"IGF2BP2a_final"	"-"	18.84	10.375	9.34	16.16	"ENSG00000141458.13"	"NPC1"	"protein_coding"	"CDS"
"chr18"	23568965	23568973	"IGF2BP2b_final"	"-"	7.632	2.224	12.648	6.904	"ENSG00000141458.13"	"NPC1"	"protein_coding"	"CDS"
"chr18"	26057594	26057602	"IGF2BP2b_final"	"-"	0	1.14	8.553333333	12.68666667	"ENSG00000141380.14"	"SS18"	"protein_coding"	"CDS"
"chr18"	27988579	27988587	"IGF2BP2b_final"	"-"	10.575	1.275	21.12	12.26	"ENSG00000170558.10"	"CDH2"	"protein_coding"	"CDS"
"chr18"	31067030	31067038	"IGF2BP2a_final"	"-"	6.3	10.375	1.17	8.88	"ENSG00000134755.17"	"DSC2"	"protein_coding"	"3UTR"
"chr18"	31520830	31520838	"IGF2BP2a_final"	"+"	12.676	35.53	5.95	18.06666667	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"CDS"
"chr18"	31522229	31522240	"IGF2BP2a_final,IGF2BP2b_final"	"+"	7.131428571	17.45	12.11666667	20.35666667	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"CDS"
"chr18"	31535334	31535342	"IGF2BP2a_final"	"+"	21.12	22.05333333	6.87	17.148	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"CDS"
"chr18"	31542746	31542754	"IGF2BP2b_final"	"+"	4.42	5.134	9.45	5.7	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"CDS"
"chr18"	31545944	31545952	"IGF2BP2a_final"	"+"	9	5.5	3.276	5.125714286	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"CDS"
"chr18"	31546729	31546737	"IGF2BP2a_final"	"+"	14.43	7.766666667	4.04	2.975	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"CDS"
"chr18"	31548030	31548038	"IGF2BP2a_final"	"+"	15.39	11.466	8.265	7.8	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"3UTR"
"chr18"	31548332	31548340	"IGF2BP2a_final"	"+"	11.97	7.735	1.71	2.08	"ENSG00000046604.13"	"DSG2"	"protein_coding"	"3UTR"
"chr18"	31595214	31595222	"IGF2BP2a_final"	"+"	2.485714286	15.88	0.828	5.408	"ENSG00000118271.12"	"TTR"	"protein_coding"	"CDS"
"chr18"	35070242	35070250	"IGF2BP2b_final"	"+"	2.61	3.345	10.88	9.995	"ENSG00000166974.13"	"MAPRE2"	"protein_coding"	"CDS"
"chr18"	35337407	35337415	"IGF2BP2b_final"	"-"	4.2	1.365	8.145	5.44	"ENSG00000172466.16"	"ZNF24"	"protein_coding"	"CDS"
"chr18"	35340478	35340486	"IGF2BP2a_final"	"-"	6.22	8.995	0	0.1	"ENSG00000172466.16"	"ZNF24"	"protein_coding"	"CDS"
