Uniprot ID;Gene name;Protein name;MCF7 pre15 confluent;MCF7 pre30 confluent;MCF7 pre15 half confluent;MCF7 pre30 half confluent;MCF7 combined;HEK293 pre15 confluent;HEK293 pre30 confluent;HEK293 pre15 half confluent;HEK293 pre30 half confluent;HEK293 combined;HeLa pre15 confluent;HeLa pre30 confluent;HeLa pre15 half confluent;HeLa pre30 half confluent;HeLa combined;all combined;MCF7 RBP;HEK293 RBP;HeLa RBP;ihRBP
Q96P70;IPO9;Importin-9;NA;NA;NA;NA;NA;NA;1;2;2;4;NA;NA;NA;NA;NA;4;NA;non-poly(A);NA;non-poly(A)
Q96T23;RSF1;Remodeling and spacing factor 1;NA;NA;NA;2;2;1;NA;NA;NA;1;1;NA;NA;NA;1;4;non-poly(A);NA;NA;non-poly(A)
Q99741;CDC6;Cell division control protein 6 homolog;NA;NA;NA;NA;NA;NA;NA;3;NA;3;NA;NA;2;2;2;4;NA;non-poly(A);non-poly(A);non-poly(A)
Q9BXP2;SLC12A9;Solute carrier family 12 member 9;2;1;NA;NA;3;NA;1;NA;NA;1;NA;NA;NA;NA;NA;4;non-poly(A);NA;NA;non-poly(A)
Q9H0U9;TSPYL1;Testis-specific Y-encoded-like protein 1;NA;NA;NA;1;1;NA;NA;NA;1;1;1;NA;1;1;2;4;NA;NA;non-poly(A);non-poly(A)
Q9H3M7;TXNIP;Thioredoxin-interacting protein;2;1;1;NA;3;NA;NA;NA;NA;NA;NA;NA;1;NA;1;4;non-poly(A);NA;NA;non-poly(A)
Q9H4K7;MTG2;Mitochondrial ribosome-associated GTPase 2;NA;NA;2;NA;2;1;NA;2;3;3;NA;NA;2;3;3;4;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
Q9H7E9;C8orf33;UPF0488 protein C8orf33;1;NA;NA;NA;1;NA;NA;2;2;3;NA;NA;3;2;3;4;NA;non-poly(A);non-poly(A);non-poly(A)
Q9HCU5;PREB;Prolactin regulatory element-binding protein;1;2;NA;NA;3;1;1;NA;NA;2;NA;NA;NA;NA;NA;4;non-poly(A);non-poly(A);NA;non-poly(A)
Q9HD45;TM9SF3;Transmembrane 9 superfamily member 3;1;2;NA;NA;2;1;NA;1;1;3;NA;NA;1;NA;1;4;non-poly(A);non-poly(A);NA;non-poly(A)
Q9NRM2;ZNF277;Zinc finger protein 277;NA;NA;3;2;3;NA;NA;1;NA;1;1;NA;NA;1;2;4;non-poly(A);NA;non-poly(A);non-poly(A)
Q9NRX2;MRPL17;39S ribosomal protein L17, mitochondrial;1;1;1;1;2;NA;1;3;1;3;2;1;2;2;3;4;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
Q9NVA2;SEPT11;Septin-11;NA;1;NA;1;2;1;NA;2;1;3;NA;NA;1;1;1;4;non-poly(A);non-poly(A);NA;non-poly(A)
Q9NVX2;NLE1;Notchless protein homolog 1;1;2;NA;NA;3;2;2;1;NA;4;2;1;1;1;2;4;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
Q9P2D0;IBTK;Inhibitor of Bruton tyrosine kinase;2;2;1;1;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;non-poly(A);NA;NA;non-poly(A)
Q9UBG3;CRNN;Cornulin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;4;NA;NA;NA;4;4;NA;NA;non-poly(A);non-poly(A)
Q9ULV4;CORO1C;Coronin-1C;NA;NA;NA;NA;NA;1;3;NA;NA;4;NA;NA;NA;NA;NA;4;NA;non-poly(A);NA;non-poly(A)
Q9UMS4;PRPF19;Pre-mRNA-processing factor 19;2;1;NA;NA;2;1;1;1;1;3;NA;NA;NA;NA;NA;4;non-poly(A);non-poly(A);NA;non-poly(A)
Q9UPN6;SCAF8;Protein SCAF8;NA;2;2;NA;3;NA;NA;NA;1;1;1;NA;NA;NA;1;4;non-poly(A);NA;NA;non-poly(A)
Q9UPU5;USP24;Ubiquitin carboxyl-terminal hydrolase 24;NA;NA;NA;NA;NA;NA;NA;2;2;4;NA;NA;NA;NA;NA;4;NA;non-poly(A);NA;non-poly(A)
Q9Y266;NUDC;Nuclear migration protein nudC;NA;NA;NA;1;1;NA;1;2;2;3;NA;NA;1;1;2;4;NA;non-poly(A);non-poly(A);non-poly(A)
Q9Y291;MRPS33;28S ribosomal protein S33, mitochondrial;1;1;1;NA;2;2;2;3;2;4;1;2;NA;1;2;4;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
Q9Y399;MRPS2;28S ribosomal protein S2, mitochondrial;2;3;3;2;3;1;1;3;1;3;1;2;NA;NA;2;4;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
Q9Y5L0;TNPO3;Transportin-3;NA;NA;NA;NA;NA;3;1;2;NA;4;NA;NA;NA;NA;NA;4;NA;non-poly(A);NA;non-poly(A)
Q9Y5Q9;GTF3C3;General transcription factor 3C polypeptide 3;NA;NA;NA;NA;NA;1;NA;3;1;3;1;NA;NA;NA;1;4;NA;non-poly(A);NA;non-poly(A)
Q9Y666;SLC12A7;Solute carrier family 12 member 7;NA;1;1;1;3;1;NA;NA;NA;1;NA;NA;NA;NA;NA;4;non-poly(A);NA;NA;non-poly(A)
Q9Y6M7;SLC4A7;Sodium bicarbonate cotransporter 3;NA;1;NA;NA;1;NA;NA;NA;1;1;1;NA;NA;1;2;4;NA;NA;non-poly(A);non-poly(A)
A0FGR8;ESYT2;Extended synaptotagmin-2;2;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;non-poly(A);NA;NA;non-poly(A)
A2AJT9;CXorf23;Uncharacterized protein CXorf23;1;NA;1;1;2;NA;NA;NA;NA;NA;2;NA;NA;NA;2;3;non-poly(A);NA;non-poly(A);non-poly(A)
A2VDJ0;TMEM131L;Transmembrane protein 131-like;NA;1;NA;1;2;NA;NA;NA;NA;NA;NA;NA;1;2;2;3;non-poly(A);NA;non-poly(A);non-poly(A)
O00488;ZNF593;Zinc finger protein 593;1;1;2;2;3;NA;1;2;1;3;1;1;1;1;2;3;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
O00767;SCD;Acyl-CoA desaturase;NA;NA;NA;NA;NA;1;NA;NA;1;2;NA;1;NA;1;2;3;NA;non-poly(A);non-poly(A);non-poly(A)
O14818;PSMA7;Proteasome subunit alpha type-7;NA;NA;NA;NA;NA;NA;NA;2;2;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
O15144;ARPC2;Actin-related protein 2/3 complex subunit 2;NA;NA;1;NA;1;1;NA;2;NA;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
O15440;ABCC5;Multidrug resistance-associated protein 5;3;1;NA;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
O43242;PSMD3;26S proteasome non-ATPase regulatory subunit 3;NA;NA;NA;NA;NA;NA;1;NA;2;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
O43583;DENR;Density-regulated protein;NA;1;NA;2;2;NA;1;2;1;3;NA;NA;1;2;2;3;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
O43592;XPOT;Exportin-T;NA;NA;NA;NA;NA;2;1;NA;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
O43615;TIMM44;Mitochondrial import inner membrane translocase subunit TIM44;NA;NA;NA;NA;NA;1;1;NA;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
O60563;CCNT1;Cyclin-T1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;NA;1;3;3;NA;NA;non-poly(A);non-poly(A)
O60716;CTNND1;Catenin delta-1;NA;NA;NA;NA;NA;1;NA;1;2;3;1;NA;1;NA;2;3;NA;non-poly(A);non-poly(A);non-poly(A)
O60885;BRD4;Bromodomain-containing protein 4;1;NA;NA;2;2;NA;1;NA;NA;1;NA;NA;NA;1;1;3;non-poly(A);NA;NA;non-poly(A)
O75083;WDR1;WD repeat-containing protein 1;1;1;NA;NA;2;1;NA;2;NA;2;NA;NA;NA;NA;NA;3;non-poly(A);non-poly(A);NA;non-poly(A)
O75340;PDCD6;Programmed cell death protein 6;1;1;NA;NA;1;NA;NA;NA;NA;NA;2;1;NA;2;3;3;NA;NA;non-poly(A);non-poly(A)
O95292;VAPB;Vesicle-associated membrane protein-associated protein B/C;NA;2;1;NA;3;NA;1;1;NA;2;NA;NA;NA;NA;NA;3;non-poly(A);non-poly(A);NA;non-poly(A)
O95819;MAP4K4;Mitogen-activated protein kinase kinase kinase kinase 4;NA;NA;NA;NA;NA;1;NA;NA;1;1;NA;1;1;NA;2;3;NA;NA;non-poly(A);non-poly(A)
O96013;PAK4;Serine/threonine-protein kinase PAK 4;2;2;1;NA;3;NA;NA;1;NA;1;NA;NA;NA;1;1;3;non-poly(A);NA;NA;non-poly(A)
P00387;CYB5R3;NADH-cytochrome b5 reductase 3;2;NA;NA;NA;2;2;NA;NA;NA;2;1;NA;NA;NA;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
P00403;MT-CO2;Cytochrome c oxidase subunit 2;NA;1;NA;NA;1;1;1;2;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
P02751;FN1;Fibronectin;1;1;1;1;2;NA;NA;NA;NA;NA;NA;NA;1;1;1;3;non-poly(A);NA;NA;non-poly(A)
P04637;TP53;Cellular tumor antigen p53;NA;NA;NA;NA;NA;3;1;NA;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
P04920;SLC4A2;Anion exchange protein 2;1;NA;NA;1;1;NA;NA;NA;NA;NA;NA;NA;2;NA;2;3;NA;NA;non-poly(A);non-poly(A)
P05067;APP;Amyloid beta A4 protein;1;NA;NA;1;2;NA;NA;1;NA;1;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P05387;RPLP2;60S acidic ribosomal protein P2;2;NA;NA;NA;2;NA;NA;NA;3;3;1;NA;3;1;3;3;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
P07195;LDHB;L-lactate dehydrogenase B chain;NA;NA;NA;NA;NA;1;1;NA;1;2;NA;NA;1;NA;1;3;NA;non-poly(A);NA;non-poly(A)
P07437;TUBB;Tubulin beta chain;1;NA;2;1;2;1;1;1;2;3;NA;1;2;2;2;3;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
P08174;CD55;Complement decay-accelerating factor;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;3;3;NA;NA;non-poly(A);non-poly(A)
P08243;ASNS;Asparagine synthetase [glutamine-hydrolyzing];NA;NA;NA;1;1;2;NA;NA;NA;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
P09622;DLD;Dihydrolipoyl dehydrogenase, mitochondrial;2;NA;NA;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P14314;PRKCSH;Glucosidase 2 subunit beta;NA;1;NA;1;2;NA;NA;1;NA;1;NA;NA;1;1;1;3;non-poly(A);NA;NA;non-poly(A)
P17301;ITGA2;Integrin alpha-2;2;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P18206;VCL;Vinculin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;2;3;3;NA;NA;non-poly(A);non-poly(A)
P19256;CD58;Lymphocyte function-associated antigen 3;1;1;1;NA;2;NA;NA;1;NA;1;1;1;NA;NA;2;3;non-poly(A);NA;non-poly(A);non-poly(A)
P20020;ATP2B1;Plasma membrane calcium-transporting ATPase 1;1;NA;NA;NA;1;1;1;1;1;3;NA;1;NA;NA;1;3;NA;non-poly(A);NA;non-poly(A)
P23193;TCEA1;Transcription elongation factor A protein 1;1;1;1;NA;1;1;2;NA;NA;2;NA;1;2;2;3;3;NA;non-poly(A);non-poly(A);non-poly(A)
P26006;ITGA3;Integrin alpha-3;NA;2;NA;NA;2;1;NA;NA;NA;1;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P28288;ABCD3;ATP-binding cassette sub-family D member 3;1;NA;1;NA;2;NA;1;NA;NA;1;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P30084;ECHS1;Enoyl-CoA hydratase, mitochondrial;1;1;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;1;1;1;3;non-poly(A);NA;NA;non-poly(A)
P30414;NKTR;NK-tumor recognition protein;2;1;NA;NA;3;NA;NA;NA;NA;NA;1;NA;NA;NA;1;3;non-poly(A);NA;NA;non-poly(A)
P31350;RRM2;Ribonucleoside-diphosphate reductase subunit M2;NA;NA;NA;3;3;NA;NA;1;2;2;NA;NA;NA;NA;NA;3;non-poly(A);non-poly(A);NA;non-poly(A)
P31431;SDC4;Syndecan-4;2;1;1;NA;3;NA;NA;NA;NA;NA;1;NA;NA;NA;1;3;non-poly(A);NA;NA;non-poly(A)
P33981;TTK;Dual specificity protein kinase TTK;NA;NA;NA;NA;NA;NA;NA;NA;2;2;NA;NA;1;NA;1;3;NA;non-poly(A);NA;non-poly(A)
P34897;SHMT2;Serine hydroxymethyltransferase, mitochondrial;2;NA;NA;NA;2;NA;NA;NA;NA;NA;NA;NA;1;NA;1;3;non-poly(A);NA;NA;non-poly(A)
P35237;SERPINB6;Serpin B6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;2;NA;3;3;NA;NA;non-poly(A);non-poly(A)
P38398;BRCA1;Breast cancer type 1 susceptibility protein;NA;NA;NA;NA;NA;NA;1;1;NA;1;1;1;NA;1;3;3;NA;NA;non-poly(A);non-poly(A)
P40763;STAT3;Signal transducer and activator of transcription 3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;1;3;3;NA;NA;non-poly(A);non-poly(A)
P42695;NCAPD3;Condensin-2 complex subunit D3;1;1;NA;1;1;1;NA;3;NA;3;NA;NA;1;2;2;3;NA;non-poly(A);non-poly(A);non-poly(A)
P42892;ECE1;Endothelin-converting enzyme 1;2;1;NA;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P43007;SLC1A4;Neutral amino acid transporter A;1;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;1;1;2;3;NA;NA;non-poly(A);non-poly(A)
P43307;SSR1;Translocon-associated protein subunit alpha;3;2;2;2;3;NA;NA;2;3;3;2;2;2;1;3;3;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
P45880;VDAC2;Voltage-dependent anion-selective channel protein 2;NA;2;NA;NA;2;2;1;NA;NA;2;1;NA;NA;NA;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
P46734;MAP2K3;Dual specificity mitogen-activated protein kinase kinase 3;NA;1;2;1;3;1;NA;1;NA;1;NA;1;NA;NA;1;3;non-poly(A);NA;NA;non-poly(A)
P46977;STT3A;Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A;1;NA;NA;1;2;1;NA;1;NA;2;NA;NA;1;NA;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
P47712;PLA2G4A;Cytosolic phospholipase A2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;3;3;NA;NA;non-poly(A);non-poly(A)
P47756;CAPZB;F-actin-capping protein subunit beta;NA;1;NA;1;1;2;NA;3;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
P48507;GCLM;Glutamate--cysteine ligase regulatory subunit;NA;NA;1;NA;1;NA;NA;1;1;1;NA;NA;2;3;3;3;NA;NA;non-poly(A);non-poly(A)
P49006;MARCKSL1;MARCKS-related protein;NA;NA;NA;NA;NA;NA;1;1;1;3;NA;NA;NA;1;1;3;NA;non-poly(A);NA;non-poly(A)
P49458;SRP9;Signal recognition particle 9 kDa protein;1;2;NA;NA;2;NA;2;1;2;3;1;NA;NA;NA;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
P49585;PCYT1A;Choline-phosphate cytidylyltransferase A;2;1;1;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P49588;AARS;Alanine--tRNA ligase, cytoplasmic;NA;NA;2;NA;2;NA;NA;1;NA;1;NA;NA;1;1;1;3;non-poly(A);NA;NA;non-poly(A)
P51149;RAB7A;Ras-related protein Rab-7a;1;NA;1;1;2;1;NA;NA;1;2;NA;NA;NA;NA;NA;3;non-poly(A);non-poly(A);NA;non-poly(A)
P51397;DAP;Death-associated protein 1;NA;1;1;NA;1;NA;1;2;2;3;1;NA;2;3;3;3;NA;non-poly(A);non-poly(A);non-poly(A)
P52209;PGD;6-phosphogluconate dehydrogenase, decarboxylating;NA;1;NA;1;2;NA;NA;1;NA;1;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P52569;SLC7A2;Cationic amino acid transporter 2;NA;NA;1;NA;1;NA;NA;NA;1;1;1;1;NA;1;2;3;NA;NA;non-poly(A);non-poly(A)
P52943;CRIP2;Cysteine-rich protein 2;2;1;1;1;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
P53634;CTSC;Dipeptidyl peptidase 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;NA;1;NA;3;3;NA;NA;non-poly(A);non-poly(A)
P53985;SLC16A1;Monocarboxylate transporter 1;NA;1;1;NA;2;NA;NA;NA;NA;NA;NA;1;NA;NA;1;3;non-poly(A);NA;NA;non-poly(A)
P56211;ARPP19;cAMP-regulated phosphoprotein 19;1;NA;NA;NA;1;NA;NA;NA;2;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
P60660;MYL6;Myosin light polypeptide 6;1;1;1;1;1;NA;NA;2;NA;2;NA;NA;2;1;2;3;NA;non-poly(A);non-poly(A);non-poly(A)
P61019;RAB2A;Ras-related protein Rab-2A;NA;NA;NA;NA;NA;NA;2;1;NA;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
P62136;PPP1CA;Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;1;2;NA;NA;3;NA;NA;1;NA;1;NA;NA;1;NA;1;3;non-poly(A);NA;NA;non-poly(A)
P62140;PPP1CB;Serine/threonine-protein phosphatase PP1-beta catalytic subunit;2;2;1;1;2;1;1;1;2;2;1;1;1;1;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
P62820;RAB1A;Ras-related protein Rab-1A;NA;NA;NA;NA;NA;NA;NA;3;NA;3;NA;NA;NA;1;1;3;NA;non-poly(A);NA;non-poly(A)
P63010;AP2B1;AP-2 complex subunit beta;1;NA;NA;NA;1;NA;NA;1;2;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
P63151;PPP2R2A;Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform;NA;NA;NA;NA;NA;NA;NA;2;2;3;NA;NA;NA;1;1;3;NA;non-poly(A);NA;non-poly(A)
P80723;BASP1;Brain acid soluble protein 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;3;1;3;3;NA;NA;non-poly(A);non-poly(A)
P82664;MRPS10;28S ribosomal protein S10, mitochondrial;1;3;3;2;3;NA;1;NA;1;1;2;1;1;1;3;3;non-poly(A);NA;non-poly(A);non-poly(A)
Q03164;KMT2A;Histone-lysine N-methyltransferase 2A;NA;NA;NA;NA;NA;1;NA;2;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q06203;PPAT;Amidophosphoribosyltransferase;NA;NA;NA;NA;NA;1;2;NA;NA;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q07157;TJP1;Tight junction protein ZO-1;NA;NA;NA;NA;NA;NA;2;1;NA;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q07812;BAX;Apoptosis regulator BAX;NA;NA;NA;NA;NA;NA;NA;3;2;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q12769;NUP160;Nuclear pore complex protein Nup160;NA;NA;NA;NA;NA;NA;1;1;NA;2;NA;NA;NA;1;1;3;NA;non-poly(A);NA;non-poly(A)
Q12907;LMAN2;Vesicular integral-membrane protein VIP36;1;NA;1;1;2;1;NA;NA;1;2;NA;NA;NA;NA;NA;3;non-poly(A);non-poly(A);NA;non-poly(A)
Q13177;PAK2;Serine/threonine-protein kinase PAK 2;1;NA;2;NA;2;NA;NA;1;1;2;NA;NA;1;NA;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
Q13185;CBX3;Chromobox protein homolog 3;NA;NA;1;2;2;2;NA;NA;1;3;NA;NA;NA;NA;NA;3;non-poly(A);non-poly(A);NA;non-poly(A)
Q14203;DCTN1;Dynactin subunit 1;NA;NA;NA;NA;NA;NA;NA;3;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q14241;ELOA;Elongin-A;1;NA;NA;NA;1;1;1;NA;NA;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q14CX7;NAA25;N-alpha-acetyltransferase 25, NatB auxiliary subunit;NA;NA;NA;NA;NA;NA;1;1;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q15070;OXA1L;Mitochondrial inner membrane protein OXA1L;1;1;NA;NA;1;NA;NA;1;1;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q15477;SKIV2L;Helicase SKI2W;NA;1;NA;NA;1;NA;NA;3;2;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q15629;TRAM1;Translocating chain-associated membrane protein 1;NA;NA;NA;1;1;NA;NA;NA;NA;NA;1;2;NA;NA;2;3;NA;NA;non-poly(A);non-poly(A)
Q2M2Z5;KIZ;Centrosomal protein kizuna;NA;NA;NA;NA;NA;2;2;1;NA;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q2TBE0;CWF19L2;CWF19-like protein 2;NA;NA;NA;NA;NA;NA;NA;3;NA;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q5VZL5;ZMYM4;Zinc finger MYM-type protein 4;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;NA;1;2;3;NA;NA;non-poly(A);non-poly(A)
Q69YQ0;SPECC1L;Cytospin-A;1;NA;1;1;1;NA;NA;2;NA;2;1;NA;1;2;3;3;NA;non-poly(A);non-poly(A);non-poly(A)
Q6KC79;NIPBL;Nipped-B-like protein;NA;NA;NA;NA;NA;NA;NA;1;NA;1;1;NA;1;2;2;3;NA;NA;non-poly(A);non-poly(A)
Q6P1J9;CDC73;Parafibromin;1;NA;NA;NA;1;NA;NA;NA;NA;NA;1;NA;1;1;2;3;NA;NA;non-poly(A);non-poly(A)
Q6UXD5;SEZ6L2;Seizure 6-like protein 2;1;2;2;2;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
Q6ZNA4;RNF111;E3 ubiquitin-protein ligase Arkadia;NA;NA;NA;NA;NA;NA;NA;1;NA;1;3;1;NA;NA;3;3;NA;NA;non-poly(A);non-poly(A)
Q7Z4V5;HDGFL2;Hepatoma-derived growth factor-related protein 2;NA;1;1;NA;2;NA;NA;NA;1;1;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
Q8IUF8;RIOX2;Ribosomal oxygenase 2;NA;1;NA;NA;1;NA;NA;1;1;2;NA;NA;2;NA;2;3;NA;non-poly(A);non-poly(A);non-poly(A)
Q8IWA5;SLC44A2;Choline transporter-like protein 2;1;1;2;NA;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;non-poly(A);NA;NA;non-poly(A)
Q8N0T1;C8orf59;Uncharacterized protein C8orf59;NA;2;1;1;3;NA;1;1;NA;1;1;1;2;3;3;3;non-poly(A);NA;non-poly(A);non-poly(A)
Q8N3U4;STAG2;Cohesin subunit SA-2;1;NA;NA;NA;1;1;NA;NA;2;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q8N3Z3;GTPBP8;GTP-binding protein 8;NA;NA;NA;2;2;NA;NA;1;2;3;NA;NA;2;NA;2;3;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
Q8N766;EMC1;ER membrane protein complex subunit 1;NA;NA;NA;NA;NA;1;NA;2;1;3;NA;NA;1;1;1;3;NA;non-poly(A);NA;non-poly(A)
Q8N7H5;PAF1;RNA polymerase II-associated factor 1 homolog;NA;NA;NA;1;1;NA;1;1;NA;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q8N884;MB21D1;Cyclic GMP-AMP synthase;1;NA;1;2;2;NA;NA;NA;NA;NA;NA;NA;2;1;2;3;non-poly(A);NA;non-poly(A);non-poly(A)
Q8TCU4;ALMS1;Alstrom syndrome protein 1;NA;NA;NA;NA;NA;2;2;NA;NA;3;NA;1;NA;NA;1;3;NA;non-poly(A);NA;non-poly(A)
Q8WUM4;PDCD6IP;Programmed cell death 6-interacting protein;1;NA;1;1;2;1;NA;1;1;1;1;NA;1;NA;1;3;non-poly(A);NA;NA;non-poly(A)
Q8WVK2;SNRNP27;U4/U6.U5 small nuclear ribonucleoprotein 27 kDa protein;NA;1;1;NA;2;1;1;1;1;1;2;NA;1;NA;2;3;non-poly(A);NA;non-poly(A);non-poly(A)
Q8WX93;PALLD;Palladin;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;1;3;3;NA;NA;non-poly(A);non-poly(A)
Q92820;GGH;Gamma-glutamyl hydrolase;NA;NA;NA;NA;NA;NA;2;NA;1;3;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q92887;ABCC2;Canalicular multispecific organic anion transporter 1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;NA;3;3;NA;NA;non-poly(A);non-poly(A)
Q93009;USP7;Ubiquitin carboxyl-terminal hydrolase 7;1;2;NA;NA;2;1;NA;1;NA;2;NA;NA;1;1;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
Q96C57;C12orf43;Uncharacterized protein C12orf43;NA;1;1;1;1;1;NA;2;1;3;NA;NA;1;NA;1;3;NA;non-poly(A);NA;non-poly(A)
Q96DN5;TBC1D31;TBC1 domain family member 31;NA;NA;1;NA;1;NA;NA;1;1;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q96DV4;MRPL38;39S ribosomal protein L38, mitochondrial;1;1;2;1;2;NA;1;1;2;2;1;NA;NA;NA;1;3;non-poly(A);non-poly(A);NA;non-poly(A)
Q96EH3;MALSU1;Mitochondrial assembly of ribosomal large subunit protein 1;1;2;1;NA;2;NA;NA;2;3;3;NA;NA;3;2;3;3;non-poly(A);non-poly(A);non-poly(A);non-poly(A)
Q96HC4;PDLIM5;PDZ and LIM domain protein 5;NA;NA;1;NA;1;NA;NA;1;2;2;1;NA;3;1;3;3;NA;non-poly(A);non-poly(A);non-poly(A)
Q96JK2;DCAF5;DDB1- and CUL4-associated factor 5;1;NA;NA;NA;1;2;NA;NA;NA;2;NA;NA;NA;NA;NA;3;NA;non-poly(A);NA;non-poly(A)
Q96K58;ZNF668;Zinc finger protein 668;1;1;2;NA;3;NA;NA;NA;NA;NA;1;1;2;1;2;3;non-poly(A);NA;non-poly(A);non-poly(A)
