UniProt;Protein.name;Gene.name
P34897;"Serine hydroxymethyltransferase, mitochondrial;Serine hydroxymethyltransferase";SHMT2
P34932;Heat shock 70 kDa protein 4;HSPA4
P34949;Mannose-6-phosphate isomerase;MPI
P35219;Carbonic anhydrase-related protein;CA8
P35221;Catenin alpha-1;CTNNA1
P35237;Serpin B6;SERPINB6
P35241;Radixin;RDX
P35244;Replication protein A 14 kDa subunit;RPA3
P35249;Replication factor C subunit 4;RFC4
P35250;Replication factor C subunit 2;RFC2
P35251;Replication factor C subunit 1;RFC1
P35268;60S ribosomal protein L22;RPL22
P35269;General transcription factor IIF subunit 1;GTF2F1
P35270;Sepiapterin reductase;SPR
P35520;Cystathionine beta-synthase;CBS
P35573;"Glycogen debranching enzyme;4-alpha-glucanotransferase;Amylo-alpha-1,6-glucosidase";AGL
P35579;Myosin-9;MYH9
P35580;Myosin-10;MYH10
P35606;Coatomer subunit beta;COPB2
P35611;Alpha-adducin;ADD1
P35612;Beta-adducin;ADD2
P35637;RNA-binding protein FUS;FUS
P35659;Protein DEK;DEK
P35908;Keratin, type II cytoskeletal 2 epidermal;KRT2
P35998;26S protease regulatory subunit 7;PSMC2
P36404;ADP-ribosylation factor-like protein 2;ARL2
P36405;ADP-ribosylation factor-like protein 3;ARL3
P36507;Dual specificity mitogen-activated protein kinase kinase 2;MAP2K2
P36543;V-type proton ATPase subunit E 1;ATP6V1E1
P36551;Coproporphyrinogen-III oxidase, mitochondrial;CPOX
P36578;60S ribosomal protein L4;RPL4
P36871;Phosphoglucomutase-1;PGM1
P36915;Guanine nucleotide-binding protein-like 1;GNL1
P36957;Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial;DLST
P37108;Signal recognition particle 14 kDa protein;SRP14
P37198;Nuclear pore glycoprotein p62;NUP62
P37275;Zinc finger E-box-binding homeobox 1;ZEB1
P37802;Transgelin-2;TAGLN2
P37837;Transaldolase;TALDO1
P38117;Electron transfer flavoprotein subunit beta;ETFB
P38159;"RNA-binding motif protein, X chromosome;RNA-binding motif protein, X chromosome, N-terminally processed";RBMX
P38432;Coilin;COIL
P38571;Lysosomal acid lipase/cholesteryl ester hydrolase;LIPA
P38606;V-type proton ATPase catalytic subunit A;ATP6V1A
P38646;Stress-70 protein, mitochondrial;HSPA9
P38919;"Eukaryotic initiation factor 4A-III;Eukaryotic initiation factor 4A-III, N-terminally processed";EIF4A3
P38935;DNA-binding protein SMUBP-2;IGHMBP2
P39019;40S ribosomal protein S19;RPS19
P39023;60S ribosomal protein L3;RPL3
P39687;Acidic leucine-rich nuclear phosphoprotein 32 family member A;ANP32A
P39748;Flap endonuclease 1;FEN1
P40222;Alpha-taxilin;TXLNA
P40227;T-complex protein 1 subunit zeta;CCT6A
P40425;Pre-B-cell leukemia transcription factor 2;PBX2
P40429;60S ribosomal protein L13a;"RPL13A;RPL13a"
P40616;ADP-ribosylation factor-like protein 1;ARL1
P40763;Signal transducer and activator of transcription 3;STAT3
P40818;Ubiquitin carboxyl-terminal hydrolase 8;USP8
P40855;Peroxisomal biogenesis factor 19;PEX19
P40925;"Malate dehydrogenase, cytoplasmic;Malate dehydrogenase";MDH1
P40926;"Malate dehydrogenase, mitochondrial;Malate dehydrogenase";MDH2
P40937;Replication factor C subunit 5;RFC5
P40938;Replication factor C subunit 3;RFC3
P41091;"Eukaryotic translation initiation factor 2 subunit 3;Putative eukaryotic translation initiation factor 2 subunit 3-like protein";"EIF2S3;EIF2S3L"
P41208;Centrin-2;CETN2
P41214;Eukaryotic translation initiation factor 2D;EIF2D
P41223;Protein BUD31 homolog;BUD31
P41227;N-alpha-acetyltransferase 10;NAA10
P41229;Lysine-specific demethylase 5C;KDM5C
P41240;Tyrosine-protein kinase CSK;CSK
P41250;Glycine--tRNA ligase;GARS
P41252;Isoleucine--tRNA ligase, cytoplasmic;IARS
P41743;Protein kinase C iota type;PRKCI
P42126;Enoyl-CoA delta isomerase 1, mitochondrial;"ECI1;DCI"
P42166;"Lamina-associated polypeptide 2, isoform alpha;Thymopoietin;Thymopentin";TMPO
P42224;Signal transducer and activator of transcription 1-alpha/beta;STAT1
P42285;Superkiller viralicidic activity 2-like 2;SKIV2L2
P42345;Serine/threonine-protein kinase mTOR;MTOR
P42566;Epidermal growth factor receptor substrate 15;EPS15
P42574;"Caspase-3;Caspase-3 subunit p17;Caspase-3 subunit p12";CASP3
P42575;"Caspase-2;Caspase-2 subunit p18;Caspase-2 subunit p13;Caspase-2 subunit p12";CASP2
P42694;Probable helicase with zinc finger domain;HELZ
P42695;Condensin-2 complex subunit D3;NCAPD3
P42696;RNA-binding protein 34;RBM34
P42704;Leucine-rich PPR motif-containing protein, mitochondrial;LRPPRC
P42766;60S ribosomal protein L35;RPL35
P42771;Cyclin-dependent kinase inhibitor 2A, isoforms 1/2/3;CDKN2A
P42785;Lysosomal Pro-X carboxypeptidase;PRCP
P42858;Huntingtin;HTT
P42898;Methylenetetrahydrofolate reductase;MTHFR
P43034;Platelet-activating factor acetylhydrolase IB subunit alpha;PAFAH1B1
P43121;Cell surface glycoprotein MUC18;MCAM
P43246;DNA mismatch repair protein Msh2;MSH2
P43251;Biotinidase;BTD
P43487;Ran-specific GTPase-activating protein;RANBP1
P43490;Nicotinamide phosphoribosyltransferase;"NAMPT;NAMPTL"
P43686;26S protease regulatory subunit 6B;PSMC4
P43897;"Elongation factor Ts, mitochondrial;Elongation factor Ts";TSFM
P45973;Chromobox protein homolog 5;CBX5
P45974;Ubiquitin carboxyl-terminal hydrolase 5;USP5
P46060;Ran GTPase-activating protein 1;RANGAP1
P46063;ATP-dependent DNA helicase Q1;RECQL
P46087;Putative ribosomal RNA methyltransferase NOP2;NOP2
P46100;Transcriptional regulator ATRX;ATRX
P46108;Adapter molecule crk;CRK
P46109;Crk-like protein;CRKL
P46379;Large proline-rich protein BAG6;BAG6
P46734;Dual specificity mitogen-activated protein kinase kinase 3;MAP2K3
P46736;Lys-63-specific deubiquitinase BRCC36;BRCC3
P46776;60S ribosomal protein L27a;RPL27A
P46777;60S ribosomal protein L5;RPL5
P46778;60S ribosomal protein L21;RPL21
P46779;60S ribosomal protein L28;RPL28
P46781;40S ribosomal protein S9;RPS9
P46783;40S ribosomal protein S10;RPS10
P46821;"Microtubule-associated protein 1B;MAP1B heavy chain;MAP1 light chain LC1";MAP1B
P46926;Glucosamine-6-phosphate isomerase 1;GNPDA1
P46937;Yorkie homolog;YAP1
P46939;Utrophin;UTRN
P46940;Ras GTPase-activating-like protein IQGAP1;IQGAP1
P47712;"Cytosolic phospholipase A2;Phospholipase A2;Lysophospholipase";PLA2G4A
P47755;F-actin-capping protein subunit alpha-2;CAPZA2
P47756;F-actin-capping protein subunit beta;CAPZB
P47813;"Eukaryotic translation initiation factor 1A, X-chromosomal;Eukaryotic translation initiation factor 1A, Y-chromosomal";"EIF1AX;EIF1AY"
P47897;Glutamine--tRNA ligase;QARS
P47914;60S ribosomal protein L29;RPL29
P48147;Prolyl endopeptidase;PREP
P48163;NADP-dependent malic enzyme;ME1
P48444;Coatomer subunit delta;ARCN1
P48507;Glutamate--cysteine ligase regulatory subunit;GCLM
P48556;26S proteasome non-ATPase regulatory subunit 8;PSMD8
P48634;Protein PRRC2A;PRRC2A
P48637;Glutathione synthetase;GSS
P48643;T-complex protein 1 subunit epsilon;CCT5
P48723;Heat shock 70 kDa protein 13;HSPA13
P48729;Casein kinase I isoform alpha;CSNK1A1
P48735;Isocitrate dehydrogenase [NADP], mitochondrial;IDH2
P48739;Phosphatidylinositol transfer protein beta isoform;PITPNB
P49005;DNA polymerase delta subunit 2;POLD2
P49137;MAP kinase-activated protein kinase 2;MAPKAPK2
P49189;4-trimethylaminobutyraldehyde dehydrogenase;ALDH9A1
P49207;60S ribosomal protein L34;RPL34
P49247;Ribose-5-phosphate isomerase;RPIA
P49321;Nuclear autoantigenic sperm protein;NASP
P49327;"Fatty acid synthase;[Acyl-carrier-protein] S-acetyltransferase;[Acyl-carrier-protein] S-malonyltransferase;3-oxoacyl-[acyl-carrier-protein] synthase;3-oxoacyl-[acyl-carrier-protein] reductase;3-hydroxyacyl-[acyl-carrier-protein] dehydratase;Enoyl-[acyl-carrier-protein] reductase;Oleoyl-[acyl-carrier-protein] hydrolase";FASN
P49354;Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha;FNTA
P49356;Protein farnesyltransferase subunit beta;FNTB
P49368;T-complex protein 1 subunit gamma;CCT3
P49411;Elongation factor Tu, mitochondrial;TUFM
P49419;Alpha-aminoadipic semialdehyde dehydrogenase;ALDH7A1
P49427;Ubiquitin-conjugating enzyme E2 R1;CDC34
P49454;Centromere protein F;CENPF
P49458;Signal recognition particle 9 kDa protein;SRP9
P49588;Alanine--tRNA ligase, cytoplasmic;AARS
P49589;Cysteine--tRNA ligase, cytoplasmic;CARS
P49591;Serine--tRNA ligase, cytoplasmic;SARS
P49593;Protein phosphatase 1F;PPM1F
P49642;"DNA primase small subunit;DNA primase";PRIM1
P49643;DNA primase large subunit;PRIM2
P49674;Casein kinase I isoform epsilon;CSNK1E
P49711;Transcriptional repressor CTCF;CTCF
P49720;Proteasome subunit beta type-3;PSMB3
P49721;Proteasome subunit beta type-2;PSMB2
P49736;DNA replication licensing factor MCM2;MCM2
P49750;YLP motif-containing protein 1;YLPM1
P49754;Vacuolar protein sorting-associated protein 41 homolog;VPS41
P49756;RNA-binding protein 25;RBM25
P49770;Translation initiation factor eIF-2B subunit beta;EIF2B2
P49773;Histidine triad nucleotide-binding protein 1;HINT1
P49790;Nuclear pore complex protein Nup153;NUP153
P49792;"E3 SUMO-protein ligase RanBP2;Putative peptidyl-prolyl cis-trans isomerase";RANBP2
P49840;Glycogen synthase kinase-3 alpha;GSK3A
P49841;Glycogen synthase kinase-3 beta;GSK3B
P49902;Cytosolic purine 5-nucleotidase;NT5C2
P49903;Selenide, water dikinase 1;SEPHS1
P49915;GMP synthase [glutamine-hydrolyzing];GMPS
P49916;DNA ligase 3;LIG3
P49959;Double-strand break repair protein MRE11A;MRE11A
P50213;Isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial;IDH3A
P50395;Rab GDP dissociation inhibitor beta;GDI2
P50454;Serpin H1;SERPINH1
P50502;"Hsc70-interacting protein;Putative protein FAM10A5";"ST13;ST13P5"
P50552;Vasodilator-stimulated phosphoprotein;VASP
P50570;Dynamin-2;DNM2
P50579;"Methionine aminopeptidase 2;Methionine aminopeptidase";METAP2
P50613;Cyclin-dependent kinase 7;CDK7
P50748;Kinetochore-associated protein 1;KNTC1
P50750;Cyclin-dependent kinase 9;CDK9
P50851;Lipopolysaccharide-responsive and beige-like anchor protein;LRBA
P50897;Palmitoyl-protein thioesterase 1;PPT1
P50914;60S ribosomal protein L14;RPL14
P50990;T-complex protein 1 subunit theta;CCT8
P50991;T-complex protein 1 subunit delta;CCT4
P51003;Poly(A) polymerase alpha;PAPOLA
P51114;Fragile X mental retardation syndrome-related protein 1;FXR1
P51116;Fragile X mental retardation syndrome-related protein 2;FXR2
P51149;Ras-related protein Rab-7a;RAB7A
P51452;Dual specificity protein phosphatase 3;DUSP3
P51532;Transcription activator BRG1;SMARCA4
P51570;Galactokinase;GALK1
P51580;Thiopurine S-methyltransferase;TPMT
P51665;26S proteasome non-ATPase regulatory subunit 7;PSMD7
P51688;N-sulphoglucosamine sulphohydrolase;SGSH
P51692;"Signal transducer and activator of transcription 5B;Signal transducer and activator of transcription 5A";"STAT5B;STAT5A"
P51812;Ribosomal protein S6 kinase alpha-3;RPS6KA3
P51858;Hepatoma-derived growth factor;HDGF
P51946;Cyclin-H;CCNH
P51948;CDK-activating kinase assembly factor MAT1;MNAT1
P51965;Ubiquitin-conjugating enzyme E2 E1;UBE2E1
P51970;NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 8;NDUFA8
P51991;Heterogeneous nuclear ribonucleoprotein A3;HNRNPA3
P52209;6-phosphogluconate dehydrogenase, decarboxylating;PGD
P52272;Heterogeneous nuclear ribonucleoprotein M;HNRNPM
P52292;Importin subunit alpha-1;KPNA2
P52306;Rap1 GTPase-GDP dissociation stimulator 1;RAP1GDS1
P52564;Dual specificity mitogen-activated protein kinase kinase 6;MAP2K6
P52565;Rho GDP-dissociation inhibitor 1;ARHGDIA
P52594;Arf-GAP domain and FG repeat-containing protein 1;AGFG1
P52597;"Heterogeneous nuclear ribonucleoprotein F;Heterogeneous nuclear ribonucleoprotein F, N-terminally processed";HNRNPF
P52655;"Transcription initiation factor IIA subunit 1;Transcription initiation factor IIA alpha chain;Transcription initiation factor IIA beta chain";GTF2A1
P52701;DNA mismatch repair protein Msh6;MSH6
P52732;Kinesin-like protein KIF11;KIF11
P52735;Guanine nucleotide exchange factor VAV2;VAV2
P52756;RNA-binding protein 5;RBM5
P52758;Ribonuclease UK114;HRSP12
P52788;Spermine synthase;SMS
P52789;Hexokinase-2;HK2
P52888;Thimet oligopeptidase;THOP1
P52907;F-actin-capping protein subunit alpha-1;CAPZA1
P52948;"Nuclear pore complex protein Nup98-Nup96;Nuclear pore complex protein Nup98;Nuclear pore complex protein Nup96";NUP98
P53004;Biliverdin reductase A;BLVRA
P53041;"Serine/threonine-protein phosphatase 5;Serine/threonine-protein phosphatase";PPP5C
P53350;Serine/threonine-protein kinase PLK1;PLK1
P53384;Cytosolic Fe-S cluster assembly factor NUBP1;NUBP1
P53396;ATP-citrate synthase;ACLY
P53582;Methionine aminopeptidase 1;METAP1
P53597;Succinyl-CoA ligase [ADP/GDP-forming] subunit alpha, mitochondrial;SUCLG1
P53611;Geranylgeranyl transferase type-2 subunit beta;RABGGTB
P53618;Coatomer subunit beta;COPB1
P53621;"Coatomer subunit alpha;Xenin;Proxenin";COPA
P53634;"Dipeptidyl peptidase 1;Dipeptidyl peptidase 1 exclusion domain chain;Dipeptidyl peptidase 1 heavy chain;Dipeptidyl peptidase 1 light chain";CTSC
P53990;IST1 homolog;IST1
P53992;Protein transport protein Sec24C;SEC24C
P54105;Methylosome subunit pICln;CLNS1A
P54132;Bloom syndrome protein;BLM
P54136;Arginine--tRNA ligase, cytoplasmic;RARS
P54577;"Tyrosine--tRNA ligase, cytoplasmic;Tyrosine--tRNA ligase, cytoplasmic, N-terminally processed";YARS
P54578;"Ubiquitin carboxyl-terminal hydrolase 14;Ubiquitin carboxyl-terminal hydrolase";USP14
P54619;5-AMP-activated protein kinase subunit gamma-1;PRKAG1
P54652;Heat shock-related 70 kDa protein 2;HSPA2
P54687;Branched-chain-amino-acid aminotransferase, cytosolic;BCAT1
P54725;UV excision repair protein RAD23 homolog A;RAD23A
P54727;UV excision repair protein RAD23 homolog B;RAD23B
P54802;"Alpha-N-acetylglucosaminidase;Alpha-N-acetylglucosaminidase 82 kDa form;Alpha-N-acetylglucosaminidase 77 kDa form";NAGLU
P54920;Alpha-soluble NSF attachment protein;NAPA
P55010;Eukaryotic translation initiation factor 5;EIF5
P55036;26S proteasome non-ATPase regulatory subunit 4;PSMD4
P55039;Developmentally-regulated GTP-binding protein 2;DRG2
P55060;Exportin-2;CSE1L
P55072;Transitional endoplasmic reticulum ATPase;VCP
P55081;Microfibrillar-associated protein 1;MFAP1
P55145;Mesencephalic astrocyte-derived neurotrophic factor;MANF
P55196;Afadin;MLLT4
P55201;Peregrin;BRPF1
P55209;Nucleosome assembly protein 1-like 1;NAP1L1
P55212;"Caspase-6;Caspase-6 subunit p18;Caspase-6 subunit p11";CASP6
P55263;Adenosine kinase;ADK
P55265;Double-stranded RNA-specific adenosine deaminase;ADAR
P55735;Protein SEC13 homolog;SEC13
P55769;"NHP2-like protein 1;NHP2-like protein 1, N-terminally processed";NHP2L1
P55795;"Heterogeneous nuclear ribonucleoprotein H2;Heterogeneous nuclear ribonucleoprotein H2, N-terminally processed";HNRNPH2
P55809;Succinyl-CoA:3-ketoacid coenzyme A transferase 1, mitochondrial;OXCT1
P55884;Eukaryotic translation initiation factor 3 subunit B;EIF3B
P55957;"BH3-interacting domain death agonist;BH3-interacting domain death agonist p15;BH3-interacting domain death agonist p13;BH3-interacting domain death agonist p11";BID
P56182;Ribosomal RNA processing protein 1 homolog A;RRP1
P56192;Methionine--tRNA ligase, cytoplasmic;MARS
P56537;Eukaryotic translation initiation factor 6;EIF6
P56545;C-terminal-binding protein 2;CTBP2
P57076;Uncharacterized protein C21orf59;C21orf59
P57081;tRNA (guanine-N(7)-)-methyltransferase subunit WDR4;WDR4
P57740;Nuclear pore complex protein Nup107;NUP107
P58004;Sestrin-2;SESN2
P60174;Triosephosphate isomerase;TPI1
P60228;Eukaryotic translation initiation factor 3 subunit E;EIF3E
P60510;"Serine/threonine-protein phosphatase 4 catalytic subunit;Serine/threonine-protein phosphatase";PPP4C
P60842;Eukaryotic initiation factor 4A-I;EIF4A1
P60866;40S ribosomal protein S20;RPS20
P60891;Ribose-phosphate pyrophosphokinase 1;PRPS1
P60900;"Proteasome subunit alpha type-6;Proteasome subunit alpha type";PSMA6
P60953;Cell division control protein 42 homolog;CDC42
P60981;Destrin;DSTN
P60983;Glia maturation factor beta;GMFB
P61011;Signal recognition particle 54 kDa protein;SRP54
P61019;Ras-related protein Rab-2A;RAB2A
P61081;NEDD8-conjugating enzyme Ubc12;UBE2M
P61086;Ubiquitin-conjugating enzyme E2 K;UBE2K
P61088;Ubiquitin-conjugating enzyme E2 N;UBE2N
P61158;Actin-related protein 3;ACTR3
P61160;Actin-related protein 2;ACTR2
P61163;Alpha-centractin;ACTR1A
P61201;COP9 signalosome complex subunit 2;COPS2
P61221;ATP-binding cassette sub-family E member 1;ABCE1
P61224;"Ras-related protein Rap-1b;Ras-related protein Rap-1b-like protein";RAP1B
P61244;Protein max;MAX
P61247;40S ribosomal protein S3a;RPS3A
P61254;60S ribosomal protein L26;"RPL26;KRBA2"
P61289;Proteasome activator complex subunit 3;PSME3
P61313;"60S ribosomal protein L15;Ribosomal protein L15";RPL15
P61353;60S ribosomal protein L27;RPL27
P61457;Pterin-4-alpha-carbinolamine dehydratase;PCBD1
P61513;60S ribosomal protein L37a;RPL37A
P61586;Transforming protein RhoA;RHOA
P61599;N-alpha-acetyltransferase 20;NAA20
P61604;10 kDa heat shock protein, mitochondrial;HSPE1
P61758;Prefoldin subunit 3;VBP1
P61916;Epididymal secretory protein E1;NPC2
P61927;"60S ribosomal protein L37;Ribosomal protein L37";RPL37
P61962;DDB1- and CUL4-associated factor 7;DCAF7
P61964;WD repeat-containing protein 5;WDR5
P61966;AP-1 complex subunit sigma-1A;AP1S1
P61970;Nuclear transport factor 2;NUTF2
P61978;Heterogeneous nuclear ribonucleoprotein K;HNRNPK
P61981;"14-3-3 protein gamma;14-3-3 protein gamma, N-terminally processed";YWHAG
P62081;40S ribosomal protein S7;RPS7
P62136;"Serine/threonine-protein phosphatase PP1-alpha catalytic subunit;Serine/threonine-protein phosphatase";PPP1CA
P62140;"Serine/threonine-protein phosphatase PP1-beta catalytic subunit;Serine/threonine-protein phosphatase";PPP1CB
P62191;26S protease regulatory subunit 4;PSMC1
P62195;26S protease regulatory subunit 8;PSMC5
P62241;40S ribosomal protein S8;RPS8
P62244;40S ribosomal protein S15a;RPS15A
P62249;40S ribosomal protein S16;RPS16
P62258;14-3-3 protein epsilon;YWHAE
P62263;40S ribosomal protein S14;RPS14
P62266;40S ribosomal protein S23;RPS23
P62269;40S ribosomal protein S18;RPS18
P62273;40S ribosomal protein S29;RPS29
P62277;40S ribosomal protein S13;RPS13
P62280;40S ribosomal protein S11;RPS11
P62304;Small nuclear ribonucleoprotein E;SNRPE
P62306;Small nuclear ribonucleoprotein F;SNRPF
P62308;"Small nuclear ribonucleoprotein G;Small nuclear ribonucleoprotein G-like protein";SNRPG
P62310;U6 snRNA-associated Sm-like protein LSm3;LSM3
P62314;Small nuclear ribonucleoprotein Sm D1;SNRPD1
P62316;Small nuclear ribonucleoprotein Sm D2;SNRPD2
P62318;Small nuclear ribonucleoprotein Sm D3;SNRPD3
P62424;60S ribosomal protein L7a;RPL7A
P62495;Eukaryotic peptide chain release factor subunit 1;ETF1
P62633;Cellular nucleic acid-binding protein;CNBP
P62701;40S ribosomal protein S4, X isoform;RPS4X
P62750;60S ribosomal protein L23a;RPL23A
P62753;40S ribosomal protein S6;RPS6
P62829;60S ribosomal protein L23;RPL23
P62851;40S ribosomal protein S25;RPS25
P62854;"40S ribosomal protein S26;Putative 40S ribosomal protein S26-like 1";"RPS26;RPS26P11"
P62857;40S ribosomal protein S28;RPS28
P62888;60S ribosomal protein L30;RPL30
P62899;60S ribosomal protein L31;RPL31
P62906;60S ribosomal protein L10a;RPL10A
P62913;60S ribosomal protein L11;RPL11
P62917;60S ribosomal protein L8;RPL8
P62937;"Peptidyl-prolyl cis-trans isomerase A;Peptidyl-prolyl cis-trans isomerase A, N-terminally processed;Peptidyl-prolyl cis-trans isomerase";PPIA
P62942;"Peptidyl-prolyl cis-trans isomerase FKBP1A;Peptidyl-prolyl cis-trans isomerase";"FKBP1A;FKBP12-Exip2"
P62979;"Ubiquitin-40S ribosomal protein S27a;Ubiquitin;40S ribosomal protein S27a";RPS27A
P62993;Growth factor receptor-bound protein 2;GRB2
P62995;Transformer-2 protein homolog beta;TRA2B
P63000;"Ras-related C3 botulinum toxin substrate 1;Ras-related C3 botulinum toxin substrate 2";"RAC1;RAC2"
P63010;AP-2 complex subunit beta;AP2B1
P63092;"Guanine nucleotide-binding protein G(s) subunit alpha isoforms short;Guanine nucleotide-binding protein G(s) subunit alpha isoforms XLas";GNAS
P63104;14-3-3 protein zeta/delta;YWHAZ
P63151;Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform;PPP2R2A
P63167;Dynein light chain 1, cytoplasmic;DYNLL1
P63173;60S ribosomal protein L38;RPL38
P63208;S-phase kinase-associated protein 1;SKP1
P63220;40S ribosomal protein S21;RPS21
P63241;"Eukaryotic translation initiation factor 5A-1;Eukaryotic translation initiation factor 5A-1-like";"EIF5A;EIF5AL1"
P63244;Guanine nucleotide-binding protein subunit beta-2-like 1;GNB2L1
P63261;"Actin, cytoplasmic 2;Actin, cytoplasmic 2, N-terminally processed";ACTG1
P63279;SUMO-conjugating enzyme UBC9;UBE2I
P67775;Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform;PPP2CA
P67809;Nuclease-sensitive element-binding protein 1;YBX1
P67870;Casein kinase II subunit beta;"CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991"
P67936;Tropomyosin alpha-4 chain;TPM4
P68032;"Actin, alpha cardiac muscle 1;Actin, gamma-enteric smooth muscle;Actin, aortic smooth muscle;Actin, alpha skeletal muscle";"ACTC1;ACTG2;ACTA2;ACTA1"
P68036;Ubiquitin-conjugating enzyme E2 L3;UBE2L3
P68104;"Elongation factor 1-alpha 1;Putative elongation factor 1-alpha-like 3";"EEF1A1;EEF1A1P5"
P68363;Tubulin alpha-1B chain;TUBA1B
P68371;Tubulin beta-4B chain;TUBB4B
P68402;Platelet-activating factor acetylhydrolase IB subunit beta;PAFAH1B2
P78312;Protein FAM193A;FAM193A
P78316;Nucleolar protein 14;NOP14
P78318;Immunoglobulin-binding protein 1;IGBP1
P78330;Phosphoserine phosphatase;PSPH
P78332;RNA-binding protein 6;RBM6
P78344;Eukaryotic translation initiation factor 4 gamma 2;EIF4G2
P78346;Ribonuclease P protein subunit p30;RPP30
P78347;General transcription factor II-I;GTF2I
P78362;"SRSF protein kinase 2;SRSF protein kinase 2 N-terminal;SRSF protein kinase 2 C-terminal";SRPK2
P78371;T-complex protein 1 subunit beta;CCT2
P78406;mRNA export factor;RAE1
P78417;Glutathione S-transferase omega-1;GSTO1
P78527;DNA-dependent protein kinase catalytic subunit;PRKDC
P82094;TATA element modulatory factor;TMF1
P82970;High mobility group nucleosome-binding domain-containing protein 5;HMGN5
P82979;SAP domain-containing ribonucleoprotein;SARNP
P83916;Chromobox protein homolog 1;CBX1
P84077;ADP-ribosylation factor 1;ARF1
P84090;Enhancer of rudimentary homolog;ERH
P84103;Serine/arginine-rich splicing factor 3;SRSF3
P85037;Forkhead box protein K1;FOXK1
P98170;E3 ubiquitin-protein ligase XIAP;XIAP
P98175;RNA-binding protein 10;RBM10
P98179;Putative RNA-binding protein 3;RBM3
Q00013;55 kDa erythrocyte membrane protein;MPP1
Q00059;Transcription factor A, mitochondrial;TFAM
Q00341;Vigilin;HDLBP
Q00403;Transcription initiation factor IIB;GTF2B
Q00534;Cyclin-dependent kinase 6;CDK6
Q00535;Cyclin-dependent kinase 5;CDK5
Q00577;Transcriptional activator protein Pur-alpha;PURA
Q00688;Peptidyl-prolyl cis-trans isomerase FKBP3;FKBP3
Q00796;Sorbitol dehydrogenase;SORD
Q00839;Heterogeneous nuclear ribonucleoprotein U;HNRNPU
Q01081;Splicing factor U2AF 35 kDa subunit;U2AF1
Q01082;Spectrin beta chain, non-erythrocytic 1;SPTBN1
Q01085;Nucleolysin TIAR;TIAL1
Q01105;Protein SET;SET
Q01469;Fatty acid-binding protein, epidermal;FABP5
Q01518;Adenylyl cyclase-associated protein 1;CAP1
Q01581;Hydroxymethylglutaryl-CoA synthase, cytoplasmic;HMGCS1
Q01658;Protein Dr1;DR1
Q01664;Transcription factor AP-4;TFAP4
Q01780;Exosome component 10;EXOSC10
Q01804;OTU domain-containing protein 4;OTUD4
Q01813;6-phosphofructokinase type C;PFKP
Q01968;Inositol polyphosphate 5-phosphatase OCRL-1;OCRL
Q01970;1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-3;PLCB3
Q02040;A-kinase anchor protein 17A;AKAP17A
Q02083;"N-acylethanolamine-hydrolyzing acid amidase;N-acylethanolamine-hydrolyzing acid amidase subunit alpha;N-acylethanolamine-hydrolyzing acid amidase subunit beta";NAAA
Q02224;Centromere-associated protein E;CENPE
Q02543;60S ribosomal protein L18a;RPL18A
Q02750;Dual specificity mitogen-activated protein kinase kinase 1;MAP2K1
Q02790;"Peptidyl-prolyl cis-trans isomerase FKBP4;Peptidyl-prolyl cis-trans isomerase FKBP4, N-terminally processed";FKBP4
Q02809;Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1;PLOD1
Q02878;60S ribosomal protein L6;RPL6
Q02880;"DNA topoisomerase 2-beta;DNA topoisomerase 2";TOP2B
Q02952;A-kinase anchor protein 12;AKAP12
Q03001;Dystonin;DST
Q03164;"Histone-lysine N-methyltransferase 2A;MLL cleavage product N320;MLL cleavage product C180";KMT2A
Q03701;CCAAT/enhancer-binding protein zeta;CEBPZ
Q04323;UBX domain-containing protein 1;UBXN1
Q04446;1,4-alpha-glucan-branching enzyme;GBE1
Q04637;Eukaryotic translation initiation factor 4 gamma 1;EIF4G1
Q04726;Transducin-like enhancer protein 3;TLE3
Q04837;Single-stranded DNA-binding protein, mitochondrial;SSBP1
Q04917;14-3-3 protein eta;YWHAH
Q05048;Cleavage stimulation factor subunit 1;CSTF1
Q05086;Ubiquitin-protein ligase E3A;UBE3A
Q05209;Tyrosine-protein phosphatase non-receptor type 12;PTPN12
Q05519;Serine/arginine-rich splicing factor 11;SRSF11
Q05639;Elongation factor 1-alpha 2;EEF1A2
Q05655;"Protein kinase C delta type;Protein kinase C delta type regulatory subunit;Protein kinase C delta type catalytic subunit";PRKCD
Q05682;Caldesmon;CALD1
Q06124;Tyrosine-protein phosphatase non-receptor type 11;PTPN11
Q06203;Amidophosphoribosyltransferase;PPAT
Q06210;Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1;GFPT1
Q06265;Exosome complex component RRP45;EXOSC9
Q06323;Proteasome activator complex subunit 1;PSME1
Q06481;Amyloid-like protein 2;APLP2
Q06546;GA-binding protein alpha chain;GABPA
